year,neighbourhood,average_house_value
2006,L'Amoreaux,578001
2006,Lambton Baby Point,299190
2006,Lansing-Westgate,545034
2006,Lawrence Park North,674957
2006,Lawrence Park South,972384
2006,Leaside-Bennington,716801
2006,Little Portugal,480129
2006,Long Branch,342930
2006,Malvern,228318
2006,Maple Leaf,402835
2006,Markland Wood,394610
2006,Milliken,306629
2006,Mimico,349739
2006,Morningside,253323
2006,Moss Park,363929
2006,Mount Dennis,233143
2006,Mount Olive-Silverstone-Jamestown,225031
2006,Mount Pleasant East,602054
2006,Mount Pleasant West,416125
2006,New Toronto,362468
2006,Newtonbrook East,497355
2006,Newtonbrook West,409358
2006,Niagara,328854
2006,North Riverdale,624890
2006,North St.James Town,365706
2006,O'Connor-Parkview,265146
2006,Oakridge,375307
2006,Oakwood Village,392146
2006,Old East York,394111
2006,Palmerston-Little Italy,553011
2006,Parkwoods-Donalda,404100
2006,Pelmo Park-Humberlea,360352
2006,Playter Estates-Danforth,576713
2006,Pleasant View,331860
2006,Princess-Rosethorn,680604
2006,Regent Park,348928
2006,Rexdale-Kipling,320860
2006,Rockcliffe-Smythe,307227
2006,Roncesvalles,452349
2006,Rosedale-Moore Park,972039
2006,Rouge,334448
2006,Runnymede-Bloor West Village,490697
2006,Rustic,383158
2006,Scarborough Village,293162
2006,South Parkdale,397724
2006,South Riverdale,404427
2006,St.Andrew-Windfields,888017
2006,Steeles,334206
2006,Stonegate-Queensway,489230
2006,Tam O'Shanter-Sullivan,314574
2006,Taylor-Massey,212794
2006,The Beaches,592220
2006,Thistletown-Beaumond Heights,334072
2006,Thorncliffe Park,226882
2006,Trinity-Bellwoods,475039
2006,University,549567
2006,Victoria Village,312980
2006,Waterfront Communities-The Island,334960
2006,West Hill,252998
2006,West Humber-Clairville,305088
2006,Westminster-Branson,310480
2006,Weston,273761
2006,Weston-Pellam Park,312685
2006,Wexford/Maryvale,309590
2006,Willowdale East,416893
2006,Willowdale West,414306
2006,Willowridge-Martingrove-Richview,412655
2006,Woburn,265315
2006,Woodbine Corridor,395861
2006,Woodbine-Lumsden,328788
2006,Wychwood,503046
2006,Yonge-Eglinton,719711
2006,Yonge-St.Clair,722799
2006,York University Heights,271887
2006,Yorkdale-Glen Park,382954
2011,Agincourt North,366667
2011,Agincourt South-Malvern West,371534
2011,Alderwood,475742
2011,Annex,830450
2011,Banbury-Don Mills,680433
2011,Bathurst Manor,557627
2011,Bay Street Corridor,470996
2011,Bayview Village,599520
2011,Bayview Woods-Steeles,628597
2011,Bedford Park-Nortown,1034387
2011,Beechborough-Greenbrook,412378
2011,Bendale,334773
2011,Birchcliffe-Cliffside,486184
2011,Black Creek,289990
2011,Blake-Jones,568589
2011,Briar Hill-Belgravia,406371
2011,Bridle Path-Sunnybrook-York Mills,1697067
2011,Broadview North,492919
2011,Brookhaven-Amesbury,390160
2011,Cabbagetown-South St.James Town,549326
2011,Caledonia-Fairbank,402135
2011,Casa Loma,1090696
2011,Centennial Scarborough,455664
2011,Church-Yonge Corridor,451500
2011,Clairlea-Birchmount,394176
2011,Clanton Park,613197
2011,Cliffcrest,464068
2011,Corso Italia-Davenport,466857
2011,Danforth,519123
2011,Danforth-East York,468801
2011,Don Valley Village,442487
2011,Dorset Park,291278
2011,Dovercourt-Wallace Emerson-Juncti,483276
2011,Downsview-Roding-CFB,424038
2011,Dufferin Grove,508723
2011,East End-Danforth,531476
2011,Edenbridge-Humber Valley,885132
2011,Eglinton East,299023
2011,Elms-Old Rexdale,298328
2011,Englemount-Lawrence,632514
2011,Eringate-Centennial-West Deane,442233
2011,Etobicoke West Mall,343988
2011,Flemingdon Park,231020
2011,Forest Hill North,946854
2011,Forest Hill South,1329642
2011,Glenfield-Jane Heights,364206
2011,Greenwood-Coxwell,430308
2011,Guildwood,410650
2011,Henry Farm,411300
2011,High Park North,592002
2011,High Park-Swansea,648124
2011,Highland Creek,476760
2011,Hillcrest Village,439166
2011,Humber Heights-Westmount,499342
2011,Humber Summit,391427
2011,Humbermede,355519
2011,Humewood-Cedarvale,774983
2011,Ionview,319834
2011,Islington-City Centre West,502160
2011,Junction Area,481686
2011,Keelesdale-Eglinton West,358844
2011,Kennedy Park,319331
2011,Kensington-Chinatown,489709
2011,Kingsview Village-The Westway,376154
2011,Kingsway South,937464
2011,L'Amoreaux,722978
2011,Lambton Baby Point,374234
2011,Lansing-Westgate,681742
2011,Lawrence Park North,844253
2011,Lawrence Park South,1216283
2011,Leaside-Bennington,896593
2011,Little Portugal,600558
2011,Long Branch,428946
2011,Malvern,285586
2011,Maple Leaf,503876
2011,Markland Wood,493588
2011,Milliken,383540
2011,Mimico,437462
2011,Morningside,316863
2011,Moss Park,455212
2011,Mount Dennis,291621
2011,Mount Olive-Silverstone-Jamestown,281475
2011,Mount Pleasant East,753065
2011,Mount Pleasant West,520500
2011,New Toronto,453384
2011,Newtonbrook East,622104
2011,Newtonbrook West,512036
2011,Niagara,411339
2011,North Riverdale,781629
2011,North St.James Town,457435
2011,O'Connor-Parkview,331652
2011,Oakridge,469444
2011,Oakwood Village,490506
2011,Old East York,492964
2011,Palmerston-Little Italy,691720
2011,Parkwoods-Donalda,505459
2011,Pelmo Park-Humberlea,450737
2011,Playter Estates-Danforth,721368
2011,Pleasant View,415099
2011,Princess-Rosethorn,851317
2011,Regent Park,436448
2011,Rexdale-Kipling,401340
2011,Rockcliffe-Smythe,384287
2011,Roncesvalles,565810
2011,Rosedale-Moore Park,1215852
2011,Rouge,418336
2011,Runnymede-Bloor West Village,613776
